donor,acceptor
370.30814,323.02403
358.85188,300.71098
325.31545,309.25202
370.33303,322.9378
358.81866,300.72553
389.30813,305.52903
388.30814,310.134
400.2702,278.41595
399.2861,320.94498
388.30814,310.13403
382.30814,298.26403
399.30814,320.97903
423.80518,303.40968
396.35908,331.63482
420.30814,304.27403
407.30814,305.13903
392.51613,300.62791
389.82438,248.30046
407.30814,305.13903
400.43738,286.77532
386.4651,241.8486
397.30814,248.18903
406.30909,277.243
548.80814,130.78153
546.30809,86.54414
528.3109,143.84539
548.81183,130.7791
546.30814,86.54403
530.30814,79.72403
455.08074,131.60739
492.30814,119.21403
532.30814,131.51403
553.30814,128.80903
563.30814,136.75903
532.30813,131.51403
553.30814,128.80903
529.44845,135.57394
525.93473,158.26547
505.30814,145.34903
531.80814,159.06653
525.80839,159.6969
512.28052,162.54591
537.80809,170.43644
530.80814,167.17153
512.30814,162.61403
537.80814,170.43653
528.74703,173.91252
515.3063,142.30208
495.30814,163.39903
480.80814,178.42153
515.13159,142.41527
495.30814,163.39903
480.80816,178.42145
504.30814,150.95403
548.30814,181.83403
513.59764,119.62613
504.30248,150.95382
562.57977,175.32115
534.33382,155.36439
533.3062,155.90883
513.82203,189.95219
564.30814,157.15403
533.30414,155.91391
490.82356,210.30294
379.3092,370.57731
430.61294,281.74535
383.98232,301.46064
379.31005,370.5738
377.78286,360.77623
397.42921,285.22576
398.49911,309.02576
369.30814,308.62903
371.80814,289.36653
372.35321,288.22779
369.30814,308.62903
371.80814,289.36653
366.82983,288.38046
437.8086,262.9422
493.54117,179.27426
348.80814,357.28153
362.80814,364.31153
382.80708,348.21298
348.80817,357.2815
394.30811,301.50409
386.30814,276.34403
391.80814,310.76653
394.30814,301.50403
386.24961,276.42109
387.5458,286.00426
377.30135,337.76273
348.95072,315.69797
342.43092,252.62589
356.30977,256.49505
386.68786,337.22803
366.30814,317.94403
419.77951,300.85646
386.80814,337.29153
366.30814,317.94403
374.80807,302.56437
399.80823,368.92628
441.81489,298.71844
382.30647,268.78941
403.8079,235.51447
441.7997,298.50433
382.27961,268.79748
403.75057,235.83332
423.22395,268.83862
438.80814,253.83153
398.80814,239.03153
454.06716,254.31352
480.07762,270.13297
439.31982,262.08568
432.9894,313.77105
504.49049,279.88933
466.3072,277.44246
445.30786,283.14976
420.30814,274.77403
432.79653,221.47683
447.12125,277.58183
444.37751,259.88234
413.74812,249.68592
459.80871,238.62588
493.30814,229.60903
481.77821,188.4347
523.81111,176.90118
544.30785,109.75507
473.72222,165.70591
523.79186,176.91027
436.80815,203.54152
439.80814,235.72653
387.30816,208.23902
436.80816,203.54152
514.80814,141.35153
504.80814,172.40153
508.30805,145.03415
515.80731,143.80006
504.80814,172.40153
483.30814,179.15903
528.30813,174.43404
390.80814,324.37153
395.80814,320.84653
398.80814,306.03153
392.80814,321.66153
395.77147,320.88182
398.80814,306.03153
392.80814,321.66153
372.6967,339.79159
353.69569,334.4098
343.71494,355.62991
348.04686,364.52158
322.80829,376.51138
346.30814,360.54401
382.8053,357.71145
290.76824,367.87607
340.18217,306.47766
289.30848,355.02896
352.58486,345.6933
322.56113,374.47422
373.81212,326.65655
363.25204,310.22771
326.55877,371.82237
385.30566,369.43979
397.80814,355.63653
375.30764,350.49917
385.30814,369.44903
397.59366,355.94813
375.30814,350.49903
353.30814,344.80903
330.30814,299.22403
352.80802,367.86142
310.3085,271.32457
330.56641,299.27051
462.18674,248.3769
378.30814,374.68403
424.38898,317.01488
351.80832,301.96643
358.80814,263.73153
379.30814,271.07903
351.81728,301.95823
