Well_Permit_Num,Period_ID,Production_Indicator,Well_Status,Farm_Name,Spud_Date,Gas_Quantity,Gas_Production_Days,Condensate_Quantity,Condensate_Production_Days,Oil_Quantity,Oil_Production_Days,Averaged,Operator,OGO_NUM,Well_County,Well_Municipality,Well_Latitude,Well_Longitude,Unconventional,Well_Configuration,Home_Use,Reporting_Period,Comment_Reason,Comment_Text,Record_Source
003-21994,15DECU,Yes,ACTIVE,FAWN DEVELOPERS INC 1,12/05/2008,2134,31,,,,,No,XTO ENERGY INC,OGO-38958,ALLEGHENY,FAWN,40.657901,-79.781085,Yes,VERTI,No,Dec 2015 (Unconventional wells),,,OGRE
003-22091,15DECU,Yes,ACTIVE,FAWN DEVELOPERS INC 3H,12/11/2009,33817,31,,,,,No,XTO ENERGY INC,OGO-38958,ALLEGHENY,FAWN,40.648568,-79.777621,Yes,HORIZ,No,Dec 2015 (Unconventional wells),,,OGRE
003-22092,15DECU,Yes,ACTIVE,FAWN DEVELOPERS INC 4H,12/03/2009,15917,31,,,,,No,XTO ENERGY INC,OGO-38958,ALLEGHENY,FAWN,40.648704,-79.777674,Yes,HORIZ,No,Dec 2015 (Unconventional wells),,,OGRE
003-22230,15DECU,Yes,ACTIVE,BOVARD DOROTHY UNIT 4H,10/30/2012,43000.43,31,,,,,No,RANGE RESOURCES APPALACHIA LLC,OGO-60915,ALLEGHENY,FAWN,40.634369,-79.753756,Yes,HORIZ,No,Dec 2015 (Unconventional wells),,,OGRE
003-22231,15DECU,Yes,ACTIVE,BOVARD DOROTHY UNIT 5H,10/30/2012,38414.70,31,,,,,No,RANGE RESOURCES APPALACHIA LLC,OGO-60915,ALLEGHENY,FAWN,40.634453,-79.753761,Yes,HORIZ,No,Dec 2015 (Unconventional wells),,,OGRE
003-22232,15DECU,Yes,ACTIVE,BOVARD DOROTHY UNIT 6H,10/30/2012,41964.75,31,,,,,No,RANGE RESOURCES APPALACHIA LLC,OGO-60915,ALLEGHENY,FAWN,40.634536,-79.753769,Yes,HORIZ,No,Dec 2015 (Unconventional wells),,,OGRE
003-22233,15DECU,Yes,ACTIVE,BOVARD DOROTHY UNIT 8H,10/30/2012,51026.05,31,,,,,No,RANGE RESOURCES APPALACHIA LLC,OGO-60915,ALLEGHENY,FAWN,40.634542,-79.753625,Yes,HORIZ,No,Dec 2015 (Unconventional wells),,,OGRE
003-22278,15DECU,Yes,ACTIVE,BOVARD DOROTHY UNIT 2H,04/13/2014,60004.11,31,,,,,No,RANGE RESOURCES APPALACHIA LLC,OGO-60915,ALLEGHENY,FAWN,40.634186,-79.753597,Yes,HORIZ,No,Dec 2015 (Unconventional wells),,,OGRE
003-22279,15DECU,Yes,ACTIVE,BOVARD DOROTHY UNIT 3H,04/12/2014,69248.95,31,,,,,No,RANGE RESOURCES APPALACHIA LLC,OGO-60915,ALLEGHENY,FAWN,40.634103,-79.753589,Yes,HORIZ,No,Dec 2015 (Unconventional wells),,,OGRE
003-22280,15DECU,Yes,ACTIVE,BOVARD DOROTHY UNIT 7H,04/12/2014,84710.12,31,,,,,No,RANGE RESOURCES APPALACHIA LLC,OGO-60915,ALLEGHENY,FAWN,40.634097,-79.753697,Yes,HORIZ,No,Dec 2015 (Unconventional wells),,,OGRE
