Date,Topic,Leader,Handles
2015-01-21,meta,All,
2015-01-28,shell and fhs,Katy Huff,@katyhuff (other volunteers welcome)
2015-02-04,parallel programming,Chris Paciorek,@paciorek
2015-02-11,text editors,All,Joey Curtis @jccurtis and other volunteers?
2015-02-18,julia,Kyle Barbary,@kbarbary
2015-02-25,ipython,Min RK and Thomas Kluyver,@minrk @takluyver
2015-03-04,matplotlib and seaborn,Caroline Sofiatti and Sean Wahl,@sofiatti
2015-03-11,make,Chris Paciorek,@paciorek
2015-03-18,computer architectures,Alex Chong,@alexchong
2015-03-25,spring break,All,enjoy!
2015-04-01,r,Rochelle Terman and Daniel Turek and Chris Paciorek,@rterman @danielturek @paciorek
2015-04-08,shiny,Karthik Ram,@karthik
2015-04-15,microcontrollers,Anders Priest and Alex Chong and Greg Telian,
2015-04-22,c++ and object orientation,Sven Chilton,
2015-04-29,testing,Rachel Slaybaugh,@rachelslaybaugh
2015-05-06,profiling,Katy Huff,@katyhuff (other volunteers welcome)
2015-05-13,TBD,,
