I_D	FLAG_TSUNAMI	YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	FOCAL_DEPTH	EQ_PRIMARY	EQ_MAG_MW	EQ_MAG_MS	EQ_MAG_MB	EQ_MAG_ML	EQ_MAG_MFA	EQ_MAG_UNK	INTENSITY	COUNTRY	STATE	LOCATION_NAME	LATITUDE	LONGITUDE	REGION_CODE	DEATHS	DEATHS_DESCRIPTION	MISSING	MISSING_DESCRIPTION	INJURIES	INJURIES_DESCRIPTION	DAMAGE_MILLIONS_DOLLARS	DAMAGE_DESCRIPTION	HOUSES_DESTROYED	HOUSES_DESTROYED_DESCRIPTION	HOUSES_DAMAGED	HOUSES_DAMAGED_DESCRIPTION	TOTAL_DEATHS	TOTAL_DEATHS_DESCRIPTION	TOTAL_MISSING	TOTAL_MISSING_DESCRIPTION	TOTAL_INJURIES	TOTAL_INJURIES_DESCRIPTION	TOTAL_DAMAGE_MILLIONS_DOLLARS	TOTAL_DAMAGE_DESCRIPTION	TOTAL_HOUSES_DESTROYED	TOTAL_HOUSES_DESTROYED_DESCRIPTION	TOTAL_HOUSES_DAMAGED	TOTAL_HOUSES_DAMAGED_DESCRIPTION
2566		1900	1	11	9	7	    		 7.8						 7.8		JAPAN		JAPAN:  SEA OF JAPAN	  36.500	  133.500	30																								
2569		1900	1	20	6	33	 30.0	10	 7.4		 7.4						MEXICO		MEXICO	  20.000	 -105.000	150								1												1				
2571		1900	5	16	20	12	    	60	 7.8						 7.8		MEXICO		MEXICO:  NEAR COAST OF JALISCO	  20.000	 -105.000	150																								
2573		1900	6	21	20	52		60	 7.5		 7.5						CUBA		CUBA	  10.000	  -85.500	90																								
2575		1900	7	29	6	59		33	 7.6		 7.6						SOLOMON ISLANDS		SOLOMON ISLANDS:  SANTA CRUZ ISLANDS	 -10.000	  165.000	170																								
2577		1900	9	18					 7.9						 7.9		COLOMBIA		COLOMBIA	   4.600	  -74.000	160																								
2580		1900	10	9	12	25			 8.3		 8.3					8	USA	AK	ALASKA:  KODIAK ISLAND	  57.090	 -153.480	150								1												1				
2583	Tsu	1900	10	29	9	11	    	25	 8.4		 8.4					10	VENEZUELA		VENEZUELA:  MACUTO	  11.000	  -66.000	90		3						3					      25	1										
2586		1900	12	25	5	9	    	40	 7.9						 7.9	9	RUSSIA		RUSSIA:  KURIL ISLANDS	  43.000	  146.000	50																								
2587		1901	1	7	0	29	    	25	 7.8						 7.8		ECUADOR		ECUADOR:  ESMERALDAS	  -2.000	  -82.000	160																								
9778	Tsu	1901	3	31	7	12			 7.2		 7.2					10	BULGARIA		BULGARIA:  BALCHIK	  43.400	   28.500	110	       4	1			        50	1		3	1200	4			       4	1			50	1		3	1200	4		
2591		1901	4	5	22	30	    	30	 7.5						 7.5		RUSSIA		RUSSIA:  KURIL ISLANDS	  45.000	  148.000	50																								
2592	Tsu	1901	6	24	7	2	    	60	 7.9						 7.9		JAPAN		JAPAN:  RYUKYU ISLANDS	  27.000	  130.000	30																				1				
2594	Tsu	1901	8	9	9	23	 30.0	33	 7.9		 7.9						JAPAN		JAPAN:  OFF NORTHEAST COAST HONSHU	  40.500	  142.500	30								2												2				
2595	Tsu	1901	8	9	13	1	    	60	 8.4		 8.4				 8.4		NEW CALEDONIA		NEW CALEDONIA:  LOYALTY ISLANDS	 -22.000	  170.000	170								1						1						2				
2596	Tsu	1901	8	9	18	33	 45.0	33	 8.2		 8.2						JAPAN		JAPAN:  OFF NORTHEAST COAST HONSHU	  40.600	  142.300	30	      18	1						2	8	1			      18	1						2	8	1		
9352	Tsu	1901	10	8	2	16			 7.0		 7.0						NICARAGUA		NICARAGUA	  11.000	  -86.500	100								1												1				
2601		1901	12	14	22	57	 45.0	33	 7.8		 7.8					7	PHILIPPINES		PHILIPPINES:  LUZON	  14.000	  122.000	170								1												1				
2603	Tsu	1901	12	31	9	2	 30.0		 7.8		 7.8				 7.8		USA	AK	ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS	  51.450	 -171.020	150								1																
2606		1902	1	1	5	20	    		 7.8						 7.8		USA	AK	ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS	  52.400	 -167.500	150																								
2608		1902	1	16					 7.0		 7.0						MEXICO		MEXICO:  GUERRERO	  17.600	  -99.700	150	       2	1						2					       2	1			2	1		2				
2610		1902	1	24	23	27		60	 7.8		 7.8						PAPUA NEW GUINEA		PAPUA NEW GUINEA	  -8.000	  150.000	170																								
2612		1902	2	9	7	35	    	60	 7.8						 7.8		TONGA		TONGA ISLANDS	 -20.000	 -174.000	170																								
2614	Tsu	1902	2	26					 7.0		 7.0						EL SALVADOR		EL SALVADOR-GUATEMALA	  13.500	  -89.500	100													     185	3			100	2		3				
2618	Tsu	1902	4	19	2	23	 30.0	33	 7.5		 7.5						GUATEMALA		GUATEMALA:  QUEZALTENANGO, SAN MARCOS	  14.000	  -91.000	100	    2000	4						3					    2000	4						3				
2622		1902	6	11	5			600	 8.0		 8.0					4	RUSSIA		RUSSIA:  SEA OF OKHOTSK	  50.000	  148.000	50																								
